Category,Id,Question,Question_concat,Response,Response (group),Sentiment,Calculation1,Negative,Neutral N Values,Neutral P Values,NPS,Positive Values,responses,Value
Design,Respondent #10,I would recommend this to others.,Design - I would recommend this to others.,Strongly Disagree,negative,Positive,-1,-1,-0.0731873586160503,1,100,0,1,3
Design,Respondent #15,I find this aspect of the product satisfactory.,Design - I would recommend this to others.,Disagree,negative,Positive,0,-1,0.9908602895745144,1,0,0,1,5
Design,Respondent #32,This aspect is easy to understand and use.,Design - This aspect is easy to understand and use.,Strongly Agree,positive,Positive,-2,0,0.04954439648879272,0,0,1,1,4
Design,Respondent #19,The performance in this area is reliable.,Design - I find this aspect of the product satisfactory.,Agree,positive,Positive,-2,0,0.22572264887334925,1,-100,0,1,4
Design,Respondent #29,I find this aspect of the product satisfactory.,Design - I find this aspect of the product satisfactory.,Disagree,negative,Positive,2,0,0.5233924486352279,1,100,1,1,2
Design,Respondent #9,This aspect is easy to understand and use.,Design - This aspect is easy to understand and use.,Disagree,negative,Positive,-1,-1,-0.5110418362911922,0,-100,1,1,1
Design,Respondent #27,I would recommend this to others.,Design - The performance in this area is reliable.,Strongly Agree,positive,Positive,-2,-1,0.8493442675689871,0,100,1,1,3
Design,Respondent #20,I find this aspect of the product satisfactory.,Design - I would recommend this to others.,Agree,positive,Positive,0,-1,0.03099036255428622,1,-100,1,1,2
Design,Respondent #15,The performance in this area is reliable.,Design - This aspect meets my expectations.,Disagree,negative,Positive,1,-1,-0.2198263544281034,1,-100,1,1,2
Design,Respondent #47,I find this aspect of the product satisfactory.,Design - This aspect is easy to understand and use.,Disagree,negative,Positive,-2,0,0.8529435524664948,1,100,0,1,4
Design,Respondent #23,I would recommend this to others.,Design - I would recommend this to others.,Strongly Disagree,negative,Positive,-1,0,0.8732353306894818,0,100,0,1,5
Design,Respondent #48,I find this aspect of the product satisfactory.,Design - This aspect is easy to understand and use.,Neutral,neutral,Positive,1,-1,-0.16242056897063617,1,-100,0,1,2
Design,Respondent #22,I find this aspect of the product satisfactory.,Design - I find this aspect of the product satisfactory.,Strongly Agree,positive,Positive,-1,-1,-0.08478739216617726,0,100,1,1,1
Design,Respondent #10,I find this aspect of the product satisfactory.,Design - This aspect meets my expectations.,Strongly Agree,positive,Positive,-2,-1,0.33669921817151405,1,0,0,1,2
Design,Respondent #28,I would recommend this to others.,Design - This aspect is easy to understand and use.,Agree,positive,Positive,-2,-1,-0.4166286091896605,1,0,0,1,1
Design,Respondent #36,I find this aspect of the product satisfactory.,Design - I find this aspect of the product satisfactory.,Strongly Agree,positive,Positive,-1,0,-0.5310536306334375,0,100,1,1,4
Design,Respondent #24,I would recommend this to others.,Design - This aspect is easy to understand and use.,Strongly Disagree,negative,Positive,1,-1,0.20530754758907643,1,0,0,1,3
Design,Respondent #49,I find this aspect of the product satisfactory.,Design - I would recommend this to others.,Strongly Disagree,negative,Positive,-2,0,0.4392386553237315,1,0,0,1,5
Design,Respondent #13,This aspect meets my expectations.,Design - I find this aspect of the product satisfactory.,Strongly Disagree,negative,Positive,-1,-1,0.4445952677468532,1,0,1,1,5
Design,Respondent #11,This aspect meets my expectations.,Design - I find this aspect of the product satisfactory.,Strongly Disagree,negative,Positive,0,-1,0.52874502411113,0,-100,1,1,2
Design,Respondent #9,The performance in this area is reliable.,Design - I find this aspect of the product satisfactory.,Strongly Agree,positive,Positive,0,-1,0.7855261849505197,0,0,0,1,3
Design,Respondent #9,I would recommend this to others.,Design - This aspect meets my expectations.,Neutral,neutral,Positive,-2,0,0.03883902419240304,0,100,0,1,3
Design,Respondent #41,I would recommend this to others.,Design - This aspect meets my expectations.,Neutral,neutral,Positive,-1,-1,-0.8128619665085293,0,100,0,1,4
Design,Respondent #23,This aspect is easy to understand and use.,Design - This aspect is easy to understand and use.,Disagree,negative,Positive,1,-1,-0.16928104743874317,0,-100,1,1,2
Design,Respondent #12,The performance in this area is reliable.,Design - I would recommend this to others.,Strongly Agree,positive,Positive,1,-1,0.5547844452252932,1,0,0,1,1
Design,Respondent #37,This aspect meets my expectations.,Design - I would recommend this to others.,Strongly Agree,positive,Positive,2,-1,0.27621955684950494,0,0,1,1,5
Design,Respondent #43,I would recommend this to others.,Design - I find this aspect of the product satisfactory.,Strongly Disagree,negative,Positive,-1,0,-0.4302299934592382,0,0,0,1,4
Design,Respondent #28,I find this aspect of the product satisfactory.,Design - This aspect is easy to understand and use.,Strongly Agree,positive,Positive,-1,-1,0.09975934359992511,0,0,0,1,4
Design,Respondent #46,This aspect meets my expectations.,Design - The performance in this area is reliable.,Strongly Disagree,negative,Positive,0,-1,0.8896695201238041,0,-100,1,1,1
Design,Respondent #20,I find this aspect of the product satisfactory.,Design - This aspect is easy to understand and use.,Strongly Disagree,negative,Positive,-2,-1,0.7106219328019574,0,100,0,1,4
Design,Respondent #40,This aspect meets my expectations.,Design - I would recommend this to others.,Disagree,negative,Positive,-1,0,0.9485216502641864,0,-100,0,1,2
Design,Respondent #43,This aspect is easy to understand and use.,Design - The performance in this area is reliable.,Agree,positive,Positive,0,0,0.020213297319435997,1,0,1,1,2
Design,Respondent #34,The performance in this area is reliable.,Design - I find this aspect of the product satisfactory.,Strongly Disagree,negative,Positive,-2,-1,0.03948898254173416,0,0,0,1,5
Design,Respondent #2,I would recommend this to others.,Design - I would recommend this to others.,Disagree,negative,Positive,1,0,0.2957808485647868,1,100,1,1,2
Design,Respondent #3,I would recommend this to others.,Design - I find this aspect of the product satisfactory.,Agree,positive,Positive,2,-1,-0.018340560760698565,1,0,0,1,1
Design,Respondent #5,This aspect is easy to understand and use.,Design - The performance in this area is reliable.,Strongly Disagree,negative,Positive,1,-1,0.012960548395372529,0,0,0,1,5
Design,Respondent #22,I would recommend this to others.,Design - The performance in this area is reliable.,Disagree,negative,Positive,1,0,-0.32431471830467773,1,-100,0,1,1
Design,Respondent #45,The performance in this area is reliable.,Design - This aspect is easy to understand and use.,Strongly Agree,positive,Positive,0,-1,-0.7193936981682458,0,100,1,1,2
Design,Respondent #16,The performance in this area is reliable.,Design - This aspect is easy to understand and use.,Strongly Disagree,negative,Positive,1,-1,-0.05880556768526857,1,0,1,1,2
Design,Respondent #28,This aspect meets my expectations.,Design - This aspect meets my expectations.,Strongly Agree,positive,Positive,0,-1,0.27573839469819905,1,100,0,1,3
Design,Respondent #30,I find this aspect of the product satisfactory.,Design - I find this aspect of the product satisfactory.,Disagree,negative,Positive,-2,0,-0.2697249007177991,0,100,1,1,5
Design,Respondent #43,This aspect is easy to understand and use.,Design - I find this aspect of the product satisfactory.,Neutral,neutral,Neutral,-1,-1,0.306743539106622,0,100,1,1,4
Design,Respondent #23,This aspect is easy to understand and use.,Design - I would recommend this to others.,Strongly Agree,positive,Neutral,0,0,0.34828329192836893,1,-100,0,1,1
Design,Respondent #9,The performance in this area is reliable.,Design - I find this aspect of the product satisfactory.,Strongly Disagree,negative,Neutral,2,0,0.03082413107804638,1,100,1,1,1
Design,Respondent #12,I would recommend this to others.,Design - This aspect is easy to understand and use.,Agree,positive,Neutral,0,0,0.4742198957249888,0,0,0,1,3
Design,Respondent #25,I find this aspect of the product satisfactory.,Design - This aspect is easy to understand and use.,Strongly Disagree,negative,Neutral,0,-1,0.3848321902908416,1,-100,0,1,1
Design,Respondent #28,This aspect meets my expectations.,Design - This aspect meets my expectations.,Strongly Agree,positive,Neutral,1,-1,-0.17077581507640383,0,0,1,1,4
Design,Respondent #24,I would recommend this to others.,Design - I find this aspect of the product satisfactory.,Neutral,neutral,Neutral,0,-1,-0.7578138258015652,1,0,1,1,1
Design,Respondent #19,I would recommend this to others.,Design - I would recommend this to others.,Agree,positive,Neutral,-1,0,0.20993898021710833,1,-100,0,1,5
Design,Respondent #10,This aspect is easy to understand and use.,Design - I would recommend this to others.,Disagree,negative,Neutral,-1,0,0.11622621449287673,1,-100,0,1,4
Design,Respondent #22,This aspect meets my expectations.,Design - This aspect meets my expectations.,Disagree,negative,Neutral,1,0,-0.12728454590324834,1,-100,1,1,4
Design,Respondent #40,I would recommend this to others.,Design - This aspect meets my expectations.,Strongly Agree,positive,Neutral,2,-1,-0.5337031964326795,0,-100,1,1,5
Design,Respondent #44,The performance in this area is reliable.,Design - I would recommend this to others.,Disagree,negative,Neutral,2,-1,0.554152001299997,0,100,0,1,4
Design,Respondent #38,This aspect meets my expectations.,Design - The performance in this area is reliable.,Strongly Agree,positive,Neutral,-2,0,-0.06842042961391437,0,-100,1,1,5
Design,Respondent #9,I would recommend this to others.,Design - This aspect meets my expectations.,Agree,positive,Neutral,-1,-1,-0.09163304763694491,0,100,0,1,3
Design,Respondent #38,The performance in this area is reliable.,Design - I find this aspect of the product satisfactory.,Agree,positive,Neutral,0,-1,0.2222254044912333,0,-100,0,1,3
Design,Respondent #43,This aspect is easy to understand and use.,Design - I would recommend this to others.,Strongly Disagree,negative,Neutral,-2,-1,-0.5132479959534539,1,-100,0,1,2
Design,Respondent #28,This aspect is easy to understand and use.,Design - I find this aspect of the product satisfactory.,Disagree,negative,Neutral,2,-1,0.21209805692838568,0,100,0,1,4
Design,Respondent #16,I would recommend this to others.,Design - This aspect is easy to understand and use.,Agree,positive,Neutral,1,-1,0.16380130304086982,1,-100,1,1,3
Design,Respondent #28,The performance in this area is reliable.,Design - This aspect is easy to understand and use.,Disagree,negative,Neutral,2,-1,-0.6151181574340601,1,100,1,1,5
Design,Respondent #44,The performance in this area is reliable.,Design - This aspect is easy to understand and use.,Agree,positive,Neutral,-1,-1,-0.5352137759534348,0,-100,1,1,2
Design,Respondent #32,This aspect meets my expectations.,Design - This aspect is easy to understand and use.,Strongly Agree,positive,Neutral,2,-1,0.5858253780068514,1,100,0,1,3
Design,Respondent #36,I would recommend this to others.,Design - I would recommend this to others.,Neutral,neutral,Neutral,-1,-1,0.23466462201341942,0,-100,0,1,4
Design,Respondent #20,This aspect meets my expectations.,Design - I find this aspect of the product satisfactory.,Strongly Disagree,negative,Neutral,-1,0,-0.35360568009679794,0,0,1,1,1
Design,Respondent #41,I find this aspect of the product satisfactory.,Design - This aspect is easy to understand and use.,Disagree,negative,Neutral,0,0,-0.7455002450786117,1,0,0,1,4
Design,Respondent #23,I would recommend this to others.,Design - I find this aspect of the product satisfactory.,Disagree,negative,Neutral,-1,0,0.9200018186230132,1,0,0,1,1
Design,Respondent #42,I would recommend this to others.,Design - I would recommend this to others.,Strongly Agree,positive,Neutral,1,0,-0.2252015598031707,0,-100,0,1,3
Design,Respondent #47,This aspect meets my expectations.,Design - This aspect is easy to understand and use.,Agree,positive,Neutral,2,-1,0.47362687894492894,1,0,1,1,2
Design,Respondent #37,I would recommend this to others.,Design - This aspect meets my expectations.,Neutral,neutral,Neutral,2,0,0.3745512910530999,0,100,0,1,4
Design,Respondent #44,The performance in this area is reliable.,Design - This aspect is easy to understand and use.,Agree,positive,Neutral,-1,0,-0.1103853314224843,1,100,0,1,4
Design,Respondent #30,I find this aspect of the product satisfactory.,Design - This aspect is easy to understand and use.,Neutral,neutral,Negative,-2,0,-0.7334476291623913,1,-100,1,1,2
Design,Respondent #16,The performance in this area is reliable.,Design - This aspect is easy to understand and use.,Agree,positive,Negative,-1,0,0.566456741114121,1,-100,1,1,5
Design,Respondent #17,I would recommend this to others.,Design - This aspect is easy to understand and use.,Disagree,negative,Negative,-2,-1,0.4811631555704392,1,100,1,1,1
Design,Respondent #11,This aspect meets my expectations.,Design - I would recommend this to others.,Neutral,neutral,Negative,1,0,0.23828852236687537,0,-100,0,1,4
Design,Respondent #15,I find this aspect of the product satisfactory.,Design - The performance in this area is reliable.,Disagree,negative,Negative,1,-1,0.8190238901718092,1,-100,0,1,2
Design,Respondent #45,I find this aspect of the product satisfactory.,Design - I find this aspect of the product satisfactory.,Strongly Agree,positive,Negative,2,0,0.07505635360740293,1,0,0,1,3
Design,Respondent #41,This aspect is easy to understand and use.,Design - The performance in this area is reliable.,Disagree,negative,Negative,2,-1,0.6530835955212888,0,100,0,1,3
Design,Respondent #31,I would recommend this to others.,Design - This aspect is easy to understand and use.,Neutral,neutral,Negative,2,0,-0.35850439777394105,0,-100,0,1,3
Pricing,Respondent #24,I find this aspect of the product satisfactory.,Pricing - The performance in this area is reliable.,Agree,positive,Positive,1,-1,0.424817007055428,0,0,0,1,5
Pricing,Respondent #47,I would recommend this to others.,Pricing - I find this aspect of the product satisfactory.,Disagree,negative,Positive,-1,-1,0.6470713729912321,1,100,1,1,2
Pricing,Respondent #38,I would recommend this to others.,Pricing - This aspect is easy to understand and use.,Disagree,negative,Positive,2,0,-0.4366153639175694,1,100,1,1,4
Pricing,Respondent #33,The performance in this area is reliable.,Pricing - I would recommend this to others.,Neutral,neutral,Positive,-1,0,-0.005863777932083147,0,100,0,1,2
Pricing,Respondent #48,I find this aspect of the product satisfactory.,Pricing - I would recommend this to others.,Disagree,negative,Positive,1,0,0.2881314189873505,0,0,0,1,2
Pricing,Respondent #11,The performance in this area is reliable.,Pricing - This aspect is easy to understand and use.,Agree,positive,Positive,0,-1,-0.129180578339106,1,0,0,1,1
Pricing,Respondent #48,The performance in this area is reliable.,Pricing - The performance in this area is reliable.,Strongly Agree,positive,Positive,-1,-1,-0.5062579802613478,1,0,1,1,2
Pricing,Respondent #26,The performance in this area is reliable.,Pricing - I find this aspect of the product satisfactory.,Disagree,negative,Positive,2,0,0.29709602556421943,1,100,0,1,5
Pricing,Respondent #12,I would recommend this to others.,Pricing - This aspect is easy to understand and use.,Disagree,negative,Positive,0,-1,-0.6297912186549275,1,100,1,1,4
Pricing,Respondent #2,This aspect meets my expectations.,Pricing - I find this aspect of the product satisfactory.,Strongly Agree,positive,Positive,2,-1,-0.19715961720519193,0,100,0,1,2
Pricing,Respondent #42,This aspect is easy to understand and use.,Pricing - I would recommend this to others.,Neutral,neutral,Positive,-1,-1,0.5031953639730986,1,-100,0,1,1
Pricing,Respondent #14,This aspect meets my expectations.,Pricing - I would recommend this to others.,Strongly Disagree,negative,Neutral,2,-1,0.3846942508932689,1,100,1,1,5
Pricing,Respondent #16,I find this aspect of the product satisfactory.,Pricing - This aspect meets my expectations.,Strongly Disagree,negative,Neutral,-2,0,-0.872883265314826,1,100,0,1,2
Pricing,Respondent #38,The performance in this area is reliable.,Pricing - This aspect is easy to understand and use.,Disagree,negative,Neutral,2,-1,-0.5018363263761416,0,-100,0,1,3
Pricing,Respondent #20,I find this aspect of the product satisfactory.,Pricing - This aspect is easy to understand and use.,Strongly Disagree,negative,Neutral,-1,-1,0.362732771890103,1,0,0,1,2
Pricing,Respondent #20,I find this aspect of the product satisfactory.,Pricing - I find this aspect of the product satisfactory.,Strongly Disagree,negative,Neutral,0,-1,0.5442017565737869,1,-100,1,1,3
Pricing,Respondent #40,This aspect is easy to understand and use.,Pricing - The performance in this area is reliable.,Disagree,negative,Neutral,1,0,-0.9225668002092449,0,-100,0,1,4
Pricing,Respondent #13,The performance in this area is reliable.,Pricing - The performance in this area is reliable.,Disagree,negative,Neutral,-2,-1,0.92396730701587,0,-100,0,1,5
Pricing,Respondent #42,I would recommend this to others.,Pricing - I would recommend this to others.,Strongly Disagree,negative,Neutral,-2,0,-0.9635388573211994,0,0,0,1,3
Pricing,Respondent #43,This aspect meets my expectations.,Pricing - I would recommend this to others.,Disagree,negative,Neutral,-2,-1,-0.07082236306380274,0,100,1,1,5
Pricing,Respondent #21,This aspect meets my expectations.,Pricing - The performance in this area is reliable.,Strongly Disagree,negative,Neutral,0,-1,-0.6030998263083809,0,100,1,1,3
Pricing,Respondent #6,This aspect meets my expectations.,Pricing - This aspect is easy to understand and use.,Strongly Agree,positive,Neutral,1,0,-0.530729208896142,1,0,1,1,5
Pricing,Respondent #46,I would recommend this to others.,Pricing - The performance in this area is reliable.,Strongly Disagree,negative,Neutral,2,-1,0.4509082366183361,0,0,0,1,2
Pricing,Respondent #28,This aspect is easy to understand and use.,Pricing - This aspect meets my expectations.,Disagree,negative,Neutral,-2,0,-0.7198333173718245,0,-100,0,1,5
Pricing,Respondent #19,I would recommend this to others.,Pricing - This aspect is easy to understand and use.,Strongly Disagree,negative,Neutral,0,0,-0.40868534030029924,0,100,0,1,5
Pricing,Respondent #24,This aspect meets my expectations.,Pricing - I find this aspect of the product satisfactory.,Disagree,negative,Neutral,0,-1,-0.41209130791248216,0,0,0,1,2
Pricing,Respondent #44,This aspect is easy to understand and use.,Pricing - The performance in this area is reliable.,Agree,positive,Neutral,0,-1,-0.3728589388058361,1,-100,1,1,3
Pricing,Respondent #27,This aspect meets my expectations.,Pricing - This aspect is easy to understand and use.,Agree,positive,Neutral,-2,0,0.0075170340721884,0,100,0,1,4
Pricing,Respondent #11,I would recommend this to others.,Pricing - I would recommend this to others.,Disagree,negative,Neutral,0,-1,0.45199733815477305,0,0,0,1,1
Pricing,Respondent #24,I would recommend this to others.,Pricing - This aspect is easy to understand and use.,Strongly Agree,positive,Neutral,1,-1,-0.613190326614534,1,-100,0,1,5
Pricing,Respondent #8,This aspect is easy to understand and use.,Pricing - This aspect is easy to understand and use.,Agree,positive,Neutral,2,-1,-0.8815792071933699,0,-100,1,1,4
Pricing,Respondent #33,I would recommend this to others.,Pricing - This aspect is easy to understand and use.,Strongly Disagree,negative,Neutral,1,0,-0.8120241012458218,1,-100,1,1,5
Pricing,Respondent #48,The performance in this area is reliable.,Pricing - The performance in this area is reliable.,Neutral,neutral,Neutral,-2,-1,-0.6533410966387676,1,-100,1,1,1
Pricing,Respondent #9,I would recommend this to others.,Pricing - The performance in this area is reliable.,Disagree,negative,Negative,1,0,0.4388349396405593,0,-100,0,1,5
Pricing,Respondent #45,I would recommend this to others.,Pricing - I find this aspect of the product satisfactory.,Disagree,negative,Negative,-1,0,0.34272664371321504,0,-100,1,1,4
Pricing,Respondent #3,The performance in this area is reliable.,Pricing - This aspect meets my expectations.,Disagree,negative,Negative,1,-1,-0.5868128708785485,1,-100,1,1,3
Pricing,Respondent #42,This aspect is easy to understand and use.,Pricing - This aspect is easy to understand and use.,Strongly Agree,positive,Negative,-2,-1,0.05060170261434127,0,-100,1,1,4
Pricing,Respondent #49,This aspect is easy to understand and use.,Pricing - The performance in this area is reliable.,Neutral,neutral,Negative,-2,-1,-0.3759916490419557,1,0,0,1,1
Pricing,Respondent #43,This aspect meets my expectations.,Pricing - This aspect meets my expectations.,Neutral,neutral,Negative,2,0,0.1368629382615265,1,0,1,1,2
Pricing,Respondent #6,This aspect meets my expectations.,Pricing - I find this aspect of the product satisfactory.,Agree,positive,Negative,0,-1,0.8024276008293456,0,100,0,1,4
Pricing,Respondent #39,I find this aspect of the product satisfactory.,Pricing - This aspect is easy to understand and use.,Agree,positive,Negative,0,0,0.1783125810480768,1,100,0,1,3
Pricing,Respondent #11,The performance in this area is reliable.,Pricing - This aspect meets my expectations.,Strongly Disagree,negative,Negative,2,-1,-0.3975199865207282,1,0,0,1,1
Pricing,Respondent #4,I would recommend this to others.,Pricing - I find this aspect of the product satisfactory.,Strongly Disagree,negative,Negative,0,-1,0.08212562229324405,0,100,1,1,5
Pricing,Respondent #9,I would recommend this to others.,Pricing - I would recommend this to others.,Strongly Agree,positive,Negative,0,0,-0.45517381095553056,0,100,0,1,2
Pricing,Respondent #30,This aspect meets my expectations.,Pricing - This aspect is easy to understand and use.,Strongly Disagree,negative,Negative,-2,-1,0.8439678888074154,1,100,1,1,1
Pricing,Respondent #19,The performance in this area is reliable.,Pricing - I find this aspect of the product satisfactory.,Neutral,neutral,Negative,-1,0,-0.7311542943885472,1,100,1,1,3
Pricing,Respondent #36,I would recommend this to others.,Pricing - The performance in this area is reliable.,Neutral,neutral,Negative,-2,-1,0.2800813566595308,0,0,1,1,2
Pricing,Respondent #45,I would recommend this to others.,Pricing - This aspect is easy to understand and use.,Strongly Disagree,negative,Negative,1,0,0.41541845411585676,0,0,1,1,5
Pricing,Respondent #48,This aspect meets my expectations.,Pricing - I would recommend this to others.,Neutral,neutral,Negative,1,0,0.708077908402095,0,0,0,1,5
Pricing,Respondent #32,I find this aspect of the product satisfactory.,Pricing - I would recommend this to others.,Neutral,neutral,Negative,0,-1,-0.7515903386845935,1,0,0,1,3
Pricing,Respondent #41,This aspect is easy to understand and use.,Pricing - I would recommend this to others.,Strongly Agree,positive,Negative,-2,0,-0.7785323565551776,1,-100,1,1,2
Pricing,Respondent #16,I find this aspect of the product satisfactory.,Pricing - This aspect is easy to understand and use.,Strongly Disagree,negative,Negative,2,-1,-0.6408843093171437,0,100,0,1,1
Pricing,Respondent #22,I find this aspect of the product satisfactory.,Pricing - The performance in this area is reliable.,Agree,positive,Negative,-1,0,0.6176658627562359,1,-100,1,1,1
Pricing,Respondent #28,This aspect is easy to understand and use.,Pricing - The performance in this area is reliable.,Agree,positive,Negative,-2,0,0.22217574518366878,0,100,0,1,1
Pricing,Respondent #47,The performance in this area is reliable.,Pricing - I find this aspect of the product satisfactory.,Strongly Disagree,negative,Negative,0,-1,0.355621947080657,1,100,1,1,4
Pricing,Respondent #4,This aspect is easy to understand and use.,Pricing - I find this aspect of the product satisfactory.,Strongly Agree,positive,Negative,-1,-1,0.7193855701284297,0,-100,0,1,3
Pricing,Respondent #4,This aspect meets my expectations.,Pricing - This aspect meets my expectations.,Strongly Disagree,negative,Negative,2,0,-0.031852315194108805,0,-100,1,1,4
Pricing,Respondent #8,The performance in this area is reliable.,Pricing - This aspect meets my expectations.,Agree,positive,Negative,0,-1,-0.23908142258529286,1,-100,1,1,1
Pricing,Respondent #49,This aspect meets my expectations.,Pricing - I find this aspect of the product satisfactory.,Strongly Agree,positive,Negative,1,0,0.07556492644874946,1,100,1,1,5
Pricing,Respondent #36,I would recommend this to others.,Pricing - I find this aspect of the product satisfactory.,Strongly Agree,positive,Negative,-1,0,-0.1874809602131553,1,100,1,1,5
Pricing,Respondent #20,I would recommend this to others.,Pricing - The performance in this area is reliable.,Neutral,neutral,Negative,1,-1,0.15621954901970958,1,100,1,1,1
Pricing,Respondent #21,This aspect is easy to understand and use.,Pricing - This aspect is easy to understand and use.,Neutral,neutral,Negative,-2,-1,0.4150043659217102,1,100,1,1,1
Pricing,Respondent #49,This aspect is easy to understand and use.,Pricing - This aspect meets my expectations.,Disagree,negative,Negative,0,-1,-0.9941310517044673,0,0,0,1,4
Pricing,Respondent #9,I would recommend this to others.,Pricing - This aspect is easy to understand and use.,Strongly Disagree,negative,Negative,0,-1,0.31740237560949125,0,100,0,1,5
Pricing,Respondent #24,I would recommend this to others.,Pricing - The performance in this area is reliable.,Strongly Agree,positive,Negative,-1,0,0.6941065785539895,1,0,0,1,5
Pricing,Respondent #19,I would recommend this to others.,Pricing - This aspect is easy to understand and use.,Strongly Agree,positive,Negative,1,0,0.15637401978493037,0,-100,0,1,2
Pricing,Respondent #30,I find this aspect of the product satisfactory.,Pricing - This aspect is easy to understand and use.,Strongly Disagree,negative,Negative,-1,0,0.3026368309628833,0,0,1,1,1
Pricing,Respondent #4,I find this aspect of the product satisfactory.,Pricing - The performance in this area is reliable.,Neutral,neutral,Negative,-1,-1,-0.31449933849351597,1,100,1,1,3
Pricing,Respondent #22,This aspect meets my expectations.,Pricing - The performance in this area is reliable.,Strongly Disagree,negative,Negative,1,0,0.03627300365118935,0,0,1,1,1
Pricing,Respondent #43,I would recommend this to others.,Pricing - This aspect meets my expectations.,Agree,positive,Negative,-1,0,-0.314886996493297,0,-100,0,1,5
Pricing,Respondent #20,This aspect is easy to understand and use.,Pricing - This aspect meets my expectations.,Neutral,neutral,Negative,1,0,0.6328176984535541,1,0,1,1,5
Pricing,Respondent #4,I would recommend this to others.,Pricing - I find this aspect of the product satisfactory.,Agree,positive,Negative,-1,0,-0.9123261250689756,0,-100,0,1,2
Pricing,Respondent #46,This aspect meets my expectations.,Pricing - This aspect is easy to understand and use.,Agree,positive,Negative,-2,-1,0.07158635389029122,0,-100,0,1,2
Pricing,Respondent #26,The performance in this area is reliable.,Pricing - This aspect is easy to understand and use.,Strongly Agree,positive,Negative,2,-1,-0.007134822227192306,0,-100,1,1,3
Pricing,Respondent #46,I find this aspect of the product satisfactory.,Pricing - The performance in this area is reliable.,Agree,positive,Negative,1,0,-0.2667305717460968,0,-100,0,1,5
Pricing,Respondent #37,The performance in this area is reliable.,Pricing - This aspect meets my expectations.,Neutral,neutral,Negative,0,-1,0.7771018516597472,1,100,1,1,1
Pricing,Respondent #24,This aspect is easy to understand and use.,Pricing - This aspect meets my expectations.,Neutral,neutral,Negative,0,0,0.6879180837601577,0,0,0,1,2
Quality,Respondent #1,This aspect meets my expectations.,Quality - This aspect meets my expectations.,Disagree,negative,Positive,2,-1,-0.15853997123546404,1,100,1,1,5
Quality,Respondent #35,I would recommend this to others.,Quality - I would recommend this to others.,Disagree,negative,Positive,0,0,0.7686580349138368,1,100,1,1,5
